Mon Nov 29 15:34:23 2021    output.dat

         47845633 function calls (47038913 primitive calls) in 40.326 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      244    0.002    0.000    0.026    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:752(set_figure)
3819/3815    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
      122    0.002    0.000    0.037    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\arrays\categorical.py:360(__init__)
      305    0.002    0.000    0.028    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\indexes\base.py:3426(get_indexer)
     7196    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:834(get_dashes)
     4620    0.002    0.000    0.011    0.000 D:\Programs\Conda\lib\site-packages\pandas\io\formats\format.py:1891(is_number_with_decimal)
     2373    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     2373    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     2921    0.002    0.000    0.111    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\patches.py:359(set_facecolor)
     5840    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\cycler.py:371(<genexpr>)
1675/1553    0.002    0.000    0.079    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\dtypes\missing.py:61(isna)
     1548    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\numpy\ma\core.py:588(filled)
    11160    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:304(_set_locator)
      488    0.002    0.000    0.006    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\figure.py:88(add)
     1281    0.002    0.000    0.007    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\_ufunc_config.py:438(__exit__)
       61    0.002    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\indexes\range.py:391(_get_indexer)
     2562    0.002    0.000    0.002    0.000 {built-in method numpy.seterrobj}
    10825    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:175(open_group)
     4960    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:283(set_locs)
     7196    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:706(get_path_effects)
      488    0.002    0.000    0.002    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      496    0.002    0.000    0.028    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:1684(apply_aspect)
     1240    0.002    0.000    0.039    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1568(transform_path)
     1273    0.002    0.000    0.014    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:1749(nonsingular)
     1281    0.002    0.000    0.009    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\_ufunc_config.py:433(__enter__)
     7196    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:988(set_url)
      183    0.002    0.000    0.155    0.001 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_axes.py:1361(plot)
     2885    0.002    0.000    0.004    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2756(get_affine)
      183    0.002    0.000    0.048    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\generic.py:4571(reindex)
     2013    0.002    0.000    0.008    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\dtypes\common.py:496(is_categorical_dtype)
      122    0.002    0.000    0.029    0.000 D:\Programs\Conda\lib\site-packages\seaborn\_core.py:1201(variable_type)
     1891    0.002    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\construction.py:605(_sanitize_ndim)
     6460    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\internals\managers.py:1619(_block)
     2806    0.002    0.000    0.004    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\internals\blocks.py:1983(extract_pandas_array)
     7287    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:149(<dictcomp>)
      344    0.002    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\pkg_resources\__init__.py:669(add)
      610    0.002    0.000    0.026    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\generic.py:1526(__invert__)
      244    0.002    0.000    0.007    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\gridspec.py:448(get_subplot_params)
     7717    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     3965    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pandas\_config\config.py:547(_select_options)
      244    0.002    0.000    5.460    0.022 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_subplots.py:16(__init__)
      171    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\sre_compile.py:276(_optimize_charset)
       61    0.002    0.000    0.024    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\reshape\concat.py:315(__init__)
     2480    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:1884(__call__)
     3848    0.002    0.000    0.002    0.000 {method 'is_floating_point' of 'torch._C._TensorBase' objects}
       62    0.002    0.000    0.022    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\figure.py:220(_get_draw_artists)
     5791    0.002    0.000    0.002    0.000 {pandas._libs.lib.is_scalar}
     4260    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\dtypes\common.py:154(<lambda>)
       22    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      240    0.002    0.000    0.012    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\figure.py:915(delaxes)
     4712    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:828(get_position)
     1240    0.002    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:1860(<listcomp>)
     1220    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\numpy\ma\core.py:672(getdata)
     1428    0.001    0.000    0.027    0.000 D:\Programs\Conda\lib\site-packages\pkg_resources\_vendor\packaging\version.py:48(parse)
    10825    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:182(close_group)
     2885    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1402(is_dashed)
      330    0.001    0.000    0.004    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\internals\managers.py:1647(get_slice)
      427    0.001    0.000    0.034    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\frame.py:573(__init__)
      183    0.001    0.000    0.075    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:2093(add_line)
     1062    0.001    0.000    0.092    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\dtypes\missing.py:278(notna)
     1672    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\generic.py:556(_get_axis)
      427    0.001    0.000    0.007    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\algorithms.py:103(_ensure_data)
      715    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\copy.py:258(_reconstruct)
     3416    0.001    0.000    0.004    0.000 D:\Programs\Conda\lib\site-packages\pandas\_config\config.py:618(_warn_if_deprecated)
      854    0.001    0.000    0.005    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\common.py:100(is_bool_indexer)
      549    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\indexes\base.py:767(_engine)
     5824    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:645(set_useMathText)
     3009    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backends\backend_agg.py:265(get_canvas_width_height)
     3965    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\pandas\_config\config.py:606(_translate_key)
     4368    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:1511(set_units)
     1220    0.001    0.000    0.246    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:1131(<genexpr>)
       61    0.001    0.000    0.025    0.000 D:\Programs\Conda\lib\site-packages\pandas\io\formats\format.py:1418(get_result_as_array)
     3990    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\generic.py:542(_get_axis_number)
      392    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\pkg_resources\_vendor\packaging\version.py:305(__str__)
     4575    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\dtypes\inference.py:288(<genexpr>)
      122    0.001    0.000    0.004    0.000 D:\Programs\Conda\lib\site-packages\numpy\lib\function_base.py:4421(insert)
      366    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\dtypes\cast.py:1969(construct_1d_object_array_from_listlike)
     5824    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\numpy\lib\function_base.py:1148(_diff_dispatcher)
     4187    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:927(set_dashes)
      976    0.001    0.000    0.117    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\spines.py:206(register_axis)
        1    0.001    0.001   40.494   40.494 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\main.py:8(main)
     1461    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\patches.py:492(set_joinstyle)
     5707    0.001    0.000    0.001    0.000 {method '__exit__' of 'numpy.nditer' objects}
     1240    0.001    0.000    0.025    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1577(transform_path_affine)
     7196    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:874(get_snap)
      610    0.001    0.000    0.097    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\series.py:451(_init_dict)
      879    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\internals\blocks.py:261(make_block_same_class)
      366    0.001    0.000    0.063    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:245(__call__)
     1200    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\internals\managers.py:1663(dtype)
      488    0.001    0.000    0.011    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\frame.py:3860(_box_col_values)
       61    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\sorting.py:97(get_group_index)
      740    0.001    0.000    0.009    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:259(frozen)
      244    0.001    0.000    0.247    0.001 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:1116(_gen_axes_spines)
       61    0.001    0.000    0.013    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\reshape\concat.py:626(_make_concat_multiindex)
      856    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(copyto)
     1146    0.001    0.000    0.004    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:1206(score_weight)
      427    0.001    0.000    0.379    0.001 D:\Programs\Conda\lib\site-packages\pandas\util\_decorators.py:302(wrapper)
      937    0.001    0.000    0.044    0.000 D:\Programs\Conda\lib\genericpath.py:39(isdir)
      123    0.001    0.000    0.111    0.001 D:\Programs\Conda\lib\site-packages\matplotlib\backends\_backend_tk.py:450(show)
      724    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\figure.py:75(_entry_from_axes)
     7696    0.001    0.000    0.001    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
       20    0.001    0.000    0.185    0.009 D:\Programs\Conda\lib\site-packages\pkg_resources\__init__.py:595(add_entry)
      689    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\genericpath.py:121(_splitext)
     1488    0.001    0.000    0.044    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:1098(<genexpr>)
     1708    0.001    0.000    0.004    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\dtypes\common.py:1519(_is_dtype)
        1    0.001    0.001    0.001    0.001 {built-in method _win32sysloader.LoadModule}
     2673    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\indexes\base.py:756(_reset_identity)
      122    0.001    0.000    0.037    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\indexing.py:2050(_align_series)
      744    0.001    0.000    0.008    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:2228(get_ticks_position)
     1600    0.001    0.000    0.001    0.000 {method 'storage' of 'torch._C._TensorBase' objects}
     7196    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:1022(get_hatch_color)
       74    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      305    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\numeric.py:2317(array_equal)
      248    0.001    0.000    0.005    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:2391(_update_offset_text_position)
     1037    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\internals\blocks.py:2005(extend_blocks)
      244    0.001    0.000    0.016    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\figure.py:788(_add_axes_internal)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
     1084    0.001    0.000    0.017    0.000 D:\Programs\Conda\lib\site-packages\pkg_resources\_vendor\packaging\version.py:107(__init__)
      620    0.001    0.000    0.014    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2616(get_matrix)
     1488    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:1940(<genexpr>)
      362    0.001    0.000    0.028    0.000 D:\Programs\Conda\lib\site-packages\pkg_resources\__init__.py:2049(<genexpr>)
      122    0.001    0.000    0.007    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\internals\blocks.py:894(setitem)
      504    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\warnings.py:458(__enter__)
     1037    0.001    0.000    0.005    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\indexes\base.py:5695(_maybe_cast_indexer)
      122    0.001    0.000    0.051    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\indexing.py:1926(_setitem_single_block)
     7196    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:1011(get_hatch)
     1600    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\torch\serialization.py:164(location_tag)
      400    0.001    0.000    0.081    0.000 D:\Programs\Conda\lib\site-packages\torch\serialization.py:210(__init__)
      244    0.001    0.000    0.011    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\dtypes\dtypes.py:510(validate_categories)
      244    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\_asarray.py:221(require)
      366    0.001    0.000    0.006    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:1336(_check_1d)
      392    0.001    0.000    0.013    0.000 D:\Programs\Conda\lib\site-packages\pkg_resources\__init__.py:1310(safe_version)
     4223    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
     4960    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:2486(_ptp_dispatcher)
     7196    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:1030(get_hatch_linewidth)
     1600    0.001    0.000    0.018    0.000 D:\Programs\Conda\lib\site-packages\torch\_tensor.py:97(__reduce_ex__)
     1342    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\dtypes\base.py:208(construct_from_string)
     4960    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:2029(_clip_dispatcher)
      968    0.001    0.000    0.006    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:221(__init__)
     5124    0.001    0.000    0.001    0.000 {built-in method numpy.geterrobj}
      480    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:687(remove)
     6098    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:1268(get_usetex)
      183    0.001    0.000    0.008    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\algorithms.py:1727(safe_sort)
      122    0.001    0.000    0.022    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\indexes\base.py:5956(insert)
     1924    0.001    0.000    0.017    0.000 D:\Programs\Conda\lib\site-packages\torch\nn\init.py:122(uniform_)
     1081    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     7381    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\typing.py:1326(cast)
    10650    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
      165    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\tkinter\__init__.py:1505(_register)
     7196    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:792(restore)
     1635    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:514(_update_clip_properties)
     5336    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:397(<dictcomp>)
       61    0.001    0.000    0.008    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\internals\managers.py:1811(_form_blocks)
      457    0.001    0.000    0.223    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\agents.py:89(__init__)
       61    0.001    0.000    0.044    0.001 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:2626(autoscale_view)
     3141    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\sre_parse.py:164(__getitem__)
     7196    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:1034(get_sketch_params)
       61    0.001    0.000    0.064    0.001 D:\Programs\Conda\lib\site-packages\pandas\core\groupby\grouper.py:680(get_grouper)
      362    0.001    0.000    0.180    0.000 D:\Programs\Conda\lib\site-packages\pkg_resources\__init__.py:2029(find_on_path)
      480    0.001    0.000    0.006    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\figure.py:78(remove)
     1635    0.001    0.000    0.006    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:737(set_clip_box)
      715    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
     8152    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\torch\_jit_internal.py:881(is_scripting)
      122    0.001    0.000    0.054    0.000 D:\Programs\Conda\lib\site-packages\seaborn\_core.py:80(__init__)
     3009    0.001    0.000    0.001    0.000 {method 'get_bitmap_offset' of 'matplotlib.ft2font.FT2Font' objects}
       62    0.001    0.000   11.494    0.185 D:\Programs\Conda\lib\site-packages\matplotlib\figure.py:2766(draw)
     5336    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:392(<dictcomp>)
      549    0.001    0.000    0.018    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\nanops.py:454(nanany)
     3660    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\internals\base.py:43(<genexpr>)
     5336    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:379(<dictcomp>)
      102    0.001    0.000    0.001    0.000 {pandas._libs.algos.groupsort_indexer}
      732    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\dtypes\common.py:574(is_dtype_equal)
      732    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\common.py:287(maybe_iterable_to_list)
      122    0.001    0.000    0.052    0.000 D:\Programs\Conda\lib\site-packages\seaborn\_core.py:489(__init__)
      800    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\torch\serialization.py:193(_is_path)
      122    0.001    0.000    0.109    0.001 D:\Programs\Conda\lib\site-packages\pandas\core\sorting.py:604(get_group_index_sorter)
     2860    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\pkg_resources\_vendor\packaging\version.py:282(<genexpr>)
     3292    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     1194    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pkg_resources\__init__.py:2632(key)
     1377    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     1342    0.001    0.000    0.005    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\generic.py:437(_validate_dtype)
      183    0.001    0.000    0.036    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:350(_makeline)
     3328    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\pkg_resources\_vendor\packaging\version.py:82(__eq__)
      244    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\spines.py:539(from_dict)
      330    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pandas\io\formats\format.py:1380(base_formatter)
      793    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
      122    0.001    0.000    0.052    0.000 D:\Programs\Conda\lib\site-packages\seaborn\_core.py:263(__init__)
  624/391    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      505    0.001    0.000    0.296    0.001 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\agents.py:83(__init__)
      366    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\base.py:737(__iter__)
     1818    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\figure.py:104(__call__)
      427    0.001    0.000    0.007    0.000 D:\Programs\Conda\lib\site-packages\pandas\io\formats\format.py:1902(<listcomp>)
      549    0.001    0.000    0.020    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\generic.py:3983(get)
     5082    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:1812(_nonzero_dispatcher)
     1044    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
      122    0.001    0.000    0.037    0.000 D:\Programs\Conda\lib\site-packages\pandas\io\formats\format.py:1164(format_array)
       61    0.001    0.000    0.193    0.003 D:\Programs\Conda\lib\site-packages\seaborn\relational.py:379(aggregate)
      674    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\figure.py:69(as_list)
      248    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:2893(<listcomp>)
      244    0.001    0.000    0.086    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_subplots.py:69(set_subplotspec)
      400    0.001    0.000    1.189    0.003 D:\Programs\Conda\lib\site-packages\torch\serialization.py:213(__exit__)
       61    0.001    0.000    0.178    0.003 D:\Programs\Conda\lib\site-packages\pandas\core\frame.py:6216(sort_values)
      244    0.001    0.000    0.004    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:2989(set_axisbelow)
     4260    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\dtypes\common.py:149(classes_and_not_datetimelike)
      400    0.001    0.000    0.083    0.000 D:\Programs\Conda\lib\site-packages\torch\serialization.py:228(_open_file_like)
      610    0.001    0.000    0.006    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:1074(set_label)
     1273    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:1336(get_major_locator)
       61    0.001    0.000    0.193    0.003 D:\Programs\Conda\lib\site-packages\seaborn\_core.py:603(__init__)
      488    0.001    0.000    0.004    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1677(__init__)
     5824    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\scale.py:89(__init__)
     2928    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\dtypes\common.py:1409(is_1d_only_ea_dtype)
       62    0.001    0.000    0.294    0.005 D:\Programs\Conda\lib\site-packages\matplotlib\backends\_backend_tk.py:70(blit)
      366    0.001    0.000    0.006    0.000 D:\Programs\Conda\lib\site-packages\pandas\io\formats\format.py:1906(<listcomp>)
     4463    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2086(get_matrix)
      244    0.001    0.000    0.015    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\internals\managers.py:629(reindex_indexer)
      484    0.001    0.000    0.062    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:1099(_gen_axes_patch)
     1666    0.001    0.000    0.009    0.000 D:\Programs\Conda\lib\site-packages\pkg_resources\__init__.py:2041(<genexpr>)
     1954    0.001    0.000    0.008    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\_methods.py:53(_any)
     1891    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\construction.py:642(_sanitize_str_dtypes)
       61    0.001    0.000    0.006    0.000 D:\Programs\Conda\lib\site-packages\seaborn\_core.py:1082(_attach)
      244    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\algorithms.py:300(_check_object_for_strings)
       62    0.001    0.000   11.508    0.186 D:\Programs\Conda\lib\site-packages\matplotlib\backends\backend_agg.py:399(draw)
     4187    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:996(set_snap)
      671    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\dtypes\dtypes.py:950(is_dtype)
       61    0.001    0.000    0.006    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\internals\managers.py:696(_slice_take_blocks_ax0)
      344    0.001    0.000    0.028    0.000 D:\Programs\Conda\lib\site-packages\pkg_resources\__init__.py:2024(<listcomp>)
     1525    0.001    0.000    0.003    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\common.py:526(require_length_match)
       61    0.001    0.000    0.081    0.001 D:\Programs\Conda\lib\site-packages\pandas\core\frame.py:9626(count)
      488    0.001    0.000    0.009    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\array_algos\take.py:54(take_nd)
     2852    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\image.py:124(<genexpr>)
      654    0.001    0.000    0.001    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\population.py:203(remove_agent)
     4783    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\generic.py:345(flags)
      484    0.001    0.000    0.001    0.000 D:\Programs\Conda\lib\_collections_abc.py:694(items)
       61    0.001    0.000    0.065    0.001 D:\Programs\Conda\lib\site-packages\pandas\core\groupby\groupby.py:846(__init__)
      183    0.001    0.000    0.028    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:2119(_update_line_limits)
      244    0.001    0.000    0.002    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\indexes\numeric.py:140(_ensure_array)
      427    0.001    0.000    0.011    0.000 D:\Programs\Conda\lib\site-packages\pandas\core\internals\blocks.py:407(_split_op_result)
