Mon Nov 29 09:44:32 2021    output.dat

         45699553 function calls (44755293 primitive calls) in 48.241 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1457435    0.139    0.000    0.139    0.000 D:\Programs\Conda\lib\inspect.py:2565(name)
  1081564    0.139    0.000    0.139    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:822(get_animated)
    17312    0.133    0.000    2.191    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:749(set_clip_path)
    31440    0.132    0.000    0.132    0.000 {built-in method pygame.event.get}
   231408    0.130    0.000    0.454    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:356(pchanged)
     8750    0.129    0.000    0.622    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:660(recache)
   164674    0.129    0.000    0.327    0.000 D:\Programs\Conda\lib\contextlib.py:121(__exit__)
   869829    0.124    0.000    0.124    0.000 {method 'pop' of 'dict' objects}
   247208    0.119    0.000    0.119    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:107(__init__)
    36860    0.119    0.000    0.588    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\markers.py:296(_set_marker)
   132831    0.118    0.000    0.118    0.000 {method 'copy' of 'numpy.ndarray' objects}
    53570    0.115    0.000    0.115    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:1791(<dictcomp>)
   164674    0.103    0.000    0.366    0.000 D:\Programs\Conda\lib\contextlib.py:242(helper)
    46288    0.100    0.000    0.100    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:170(__init__)
   164674    0.098    0.000    0.454    0.000 D:\Programs\Conda\lib\contextlib.py:112(__enter__)
    50914    0.096    0.000    0.290    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2311(__init__)
     2562    0.095    0.000    0.095    0.000 {built-in method nt.stat}
   711325    0.093    0.000    0.093    0.000 {method 'get' of 'dict' objects}
    14430    0.093    0.000    1.665    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:129(__init__)
    68090    0.092    0.000    0.336    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\markers.py:238(_recache)
    34712    0.091    0.000    0.107    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:813(set_weight)
26168/18312    0.090    0.000    3.198    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\spines.py:330(get_spine_transform)
   167563    0.088    0.000    2.919    0.000 D:\Programs\Conda\lib\inspect.py:3057(bind)
     5938    0.084    0.000    1.071    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:665(draw)
